time,open,high,low,close,tick_volume,spread,real_volume
2022-07-01 01:00:00,1807.31,1807.87,1804.5,1805.6,609,4,0
2022-07-01 01:15:00,1805.6,1806.52,1804.61,1806.25,478,8,0
2022-07-01 01:30:00,1806.35,1806.62,1805.44,1805.81,469,8,0
2022-07-01 01:45:00,1805.81,1806.32,1805.66,1806.27,371,10,0
2022-07-01 02:00:00,1806.26,1806.26,1804.97,1805.56,302,0,0
2022-07-01 02:15:00,1805.56,1805.9,1805.05,1805.8,360,3,0
2022-07-01 02:30:00,1805.8,1806.02,1805.42,1805.95,346,0,0
2022-07-01 02:45:00,1806.04,1807.12,1806.04,1806.58,480,11,0
2022-07-01 03:00:00,1806.59,1807.21,1805.85,1806.09,811,7,0
2022-07-01 03:15:00,1806.09,1806.89,1805.85,1806.41,600,7,0
2022-07-01 03:30:00,1806.41,1806.56,1803.38,1804.27,796,0,0
2022-07-01 03:45:00,1804.27,1806.65,1804.25,1806.38,811,0,0
2022-07-01 04:00:00,1806.39,1806.96,1804.88,1805.41,1529,0,0
2022-07-01 04:15:00,1805.41,1806.36,1805.14,1805.59,1211,0,0
2022-07-01 04:30:00,1805.59,1806.51,1804.75,1805.28,1355,0,0
2022-07-01 04:45:00,1805.28,1805.76,1804.48,1804.52,1084,0,0
2022-07-01 05:00:00,1804.52,1805.91,1803.97,1805.22,1068,0,0
2022-07-01 05:15:00,1805.21,1806.53,1805.16,1805.43,827,0,0
2022-07-01 05:30:00,1805.43,1805.8,1804.77,1804.98,1298,2,0
2022-07-01 05:45:00,1804.98,1805.3,1804.18,1804.37,1036,0,0
2022-07-01 06:00:00,1804.37,1804.65,1803.41,1803.93,1304,0,0
2022-07-01 06:15:00,1803.93,1804.59,1802.89,1803.01,1821,0,0
2022-07-01 06:30:00,1803.03,1803.27,1802.59,1802.66,1271,1,0
2022-07-01 06:45:00,1802.62,1803.14,1801.29,1801.42,1345,0,0
2022-07-01 07:00:00,1801.42,1802.83,1800.8,1801.56,1295,0,0
2022-07-01 07:15:00,1801.56,1802.4,1801.37,1802.01,1064,0,0
2022-07-01 07:30:00,1802.06,1802.52,1801.28,1801.46,790,5,0
2022-07-01 07:45:00,1801.46,1803.11,1801.46,1802.81,866,6,0
2022-07-01 08:00:00,1802.8,1802.91,1801.33,1801.38,1121,6,0
2022-07-01 08:15:00,1801.39,1802.89,1800.95,1802.3,919,0,0
2022-07-01 08:30:00,1802.3,1802.32,1795.17,1796.53,2068,0,0
2022-07-01 08:45:00,1796.53,1799.13,1796.39,1797.39,1691,0,0
