time,open,high,low,close,tick_volume,spread,real_volume
2021-10-01 01:00:00,1756.54,1756.78,1755.51,1755.94,672,3,0
2021-10-01 01:30:00,1755.93,1756.16,1755.22,1755.35,517,3,0
2021-10-01 02:00:00,1755.37,1755.5,1753.98,1754.55,658,0,0
2021-10-01 02:30:00,1754.54,1755.27,1752.8,1753.08,894,0,0
2021-10-01 03:00:00,1753.08,1753.76,1751.87,1753.58,1574,0,0
2021-10-01 03:30:00,1753.6,1753.61,1751.2,1751.5,1453,0,0
2021-10-01 04:00:00,1751.49,1755.89,1750.68,1755.58,2588,0,0
2021-10-01 04:30:00,1755.53,1756.29,1754.48,1754.71,1776,0,0
2021-10-01 05:00:00,1754.82,1755.51,1753.42,1755.43,1693,0,0
2021-10-01 05:30:00,1755.43,1756.9,1754.92,1755.46,1697,0,0
2021-10-01 06:00:00,1755.45,1755.92,1754.55,1754.58,813,0,0
2021-10-01 06:30:00,1754.58,1754.6,1751.98,1754.01,1329,0,0
2021-10-01 07:00:00,1754.01,1754.31,1751.23,1751.75,1258,0,0
2021-10-01 07:30:00,1751.74,1754.22,1751.04,1753.62,1052,0,0
2021-10-01 08:00:00,1753.62,1753.68,1751.1,1751.24,1596,0,0
2021-10-01 08:30:00,1751.31,1752.62,1750.92,1752.13,1218,0,0
2021-10-01 09:00:00,1752.2,1755.04,1751.11,1754.47,2645,0,0
2021-10-01 09:30:00,1754.49,1756.84,1753.25,1755.71,2460,0,0
2021-10-01 10:00:00,1755.72,1757.28,1753.34,1753.55,3241,0,0
2021-10-01 10:30:00,1753.53,1755.76,1751.74,1753.14,2761,0,0
2021-10-01 11:00:00,1753.19,1753.59,1751.36,1753.4,2868,0,0
2021-10-01 11:30:00,1753.39,1753.91,1751.39,1752.92,2458,0,0
2021-10-01 12:00:00,1752.92,1755.31,1752.89,1754.56,2233,0,0
2021-10-01 12:30:00,1754.56,1756.73,1754.48,1755.02,2259,0,0
2021-10-01 13:00:00,1754.97,1755.66,1754.03,1754.75,1753,0,0
2021-10-01 13:30:00,1754.8,1755.06,1753.21,1753.24,1735,0,0
2021-10-01 14:00:00,1753.28,1755.42,1752.82,1754.13,2112,0,0
2021-10-01 14:30:00,1754.13,1756.08,1752.01,1754.6,2753,0,0
2021-10-01 15:00:00,1754.6,1754.64,1749.75,1752.96,3731,0,0
2021-10-01 15:30:00,1752.95,1759.84,1752.29,1756.63,4589,0,0
2021-10-01 16:00:00,1756.62,1758.53,1755.18,1756.83,3904,0,0
2021-10-01 16:30:00,1756.87,1759.89,1754.57,1757.66,5502,0,0
2021-10-01 17:00:00,1756.44,1761.15,1752.69,1759.98,5931,0,0
2021-10-01 17:30:00,1759.96,1764.28,1757.49,1758.74,4516,0,0
2021-10-01 18:00:00,1758.73,1758.96,1755.81,1758.33,3738,0,0
2021-10-01 18:30:00,1758.3,1762.54,1757.76,1761.57,2651,0,0
2021-10-01 19:00:00,1761.6,1762.61,1760.69,1762.38,2554,0,0
2021-10-01 19:30:00,1762.47,1762.8,1759.32,1759.4,1661,0,0
2021-10-01 20:00:00,1759.4,1760.21,1757.74,1758.35,2121,0,0
2021-10-01 20:30:00,1758.44,1759.79,1758.44,1759.18,1094,0,0
2021-10-01 21:00:00,1759.15,1759.85,1758.5,1758.74,1187,0,0
2021-10-01 21:30:00,1758.74,1759.54,1758.45,1758.92,872,0,0
2021-10-01 22:00:00,1758.85,1758.96,1757.25,1757.76,919,0,0
2021-10-01 22:30:00,1757.76,1760.28,1757.4,1759.98,1123,0,0
2021-10-01 23:00:00,1759.94,1760.34,1759.28,1759.89,339,0,0
2021-10-01 23:30:00,1759.89,1760.76,1759.52,1760.39,408,2,0
2021-10-04 01:00:00,1761.92,1765.19,1760.26,1764.78,1680,0,0
2021-10-04 01:30:00,1764.78,1765.25,1763.85,1763.86,1015,0,0
2021-10-04 02:00:00,1763.88,1765.24,1763.1,1763.61,990,0,0
2021-10-04 02:30:00,1763.66,1764.23,1762.78,1763.15,702,1,0
2021-10-04 03:00:00,1763.13,1765.26,1762.75,1763.9,1771,0,0
2021-10-04 03:30:00,1763.91,1765.71,1763.23,1764.03,1513,0,0
2021-10-04 04:00:00,1764.12,1765.37,1763.76,1764.32,1245,0,0
2021-10-04 04:30:00,1764.31,1765.02,1762.17,1762.17,1422,0,0
2021-10-04 05:00:00,1762.17,1762.52,1759.79,1759.82,1519,0,0
2021-10-04 05:30:00,1759.81,1760.43,1758.39,1759.03,1553,0,0
2021-10-04 06:00:00,1759.03,1759.64,1758.88,1759.42,836,3,0
2021-10-04 06:30:00,1759.42,1759.6,1757.8,1758.79,1115,1,0
2021-10-04 07:00:00,1758.79,1760.62,1758.66,1759.96,843,0,0
2021-10-04 07:30:00,1759.96,1761.61,1759.4,1760.59,1053,0,0
2021-10-04 08:00:00,1760.59,1761.56,1760.23,1761.42,1009,0,0
2021-10-04 08:30:00,1761.42,1762.11,1760.49,1761.38,952,0,0
2021-10-04 09:00:00,1761.39,1762.73,1758.88,1759.05,2252,0,0
2021-10-04 09:30:00,1759.05,1759.81,1756.59,1757.79,2186,0,0
2021-10-04 10:00:00,1757.78,1758.36,1754.5,1754.99,3739,0,0
2021-10-04 10:30:00,1754.96,1755.5,1753.04,1753.43,2872,0,0
2021-10-04 11:00:00,1753.5,1755.49,1751.8,1752.65,2451,0,0
2021-10-04 11:30:00,1752.66,1752.67,1748.78,1751.47,2535,0,0
2021-10-04 12:00:00,1751.48,1752.04,1750.63,1750.92,1838,0,0
2021-10-04 12:30:00,1750.91,1752.39,1750.25,1750.85,1512,0,0
2021-10-04 13:00:00,1750.85,1751.58,1748.7,1750.51,2106,0,0
2021-10-04 13:30:00,1750.52,1750.72,1748.53,1749.24,2392,0,0
2021-10-04 14:00:00,1749.23,1750.68,1747.71,1750.22,2347,0,0
2021-10-04 14:30:00,1750.14,1754.41,1748.32,1753.47,2436,0,0
2021-10-04 15:00:00,1753.53,1753.8,1751.3,1752.51,2624,0,0
2021-10-04 15:30:00,1752.49,1758.33,1751.7,1755.12,3804,0,0
2021-10-04 16:00:00,1755.1,1755.11,1750.27,1750.71,2934,0,0
2021-10-04 16:30:00,1750.63,1753.3,1748.47,1752.14,4662,0,0
2021-10-04 17:00:00,1752.14,1762.59,1752.14,1760.84,5349,0,0
2021-10-04 17:30:00,1760.85,1770.54,1759.17,1766.42,5497,0,0
2021-10-04 18:00:00,1766.42,1767.92,1762.69,1764.41,4149,0,0
2021-10-04 18:30:00,1764.41,1766.9,1763.6,1765.48,3053,0,0
2021-10-04 19:00:00,1765.48,1769.17,1765.09,1768.48,2201,0,0
2021-10-04 19:30:00,1768.52,1770.23,1768.05,1769.03,2139,0,0
2021-10-04 20:00:00,1768.97,1769.03,1766.48,1766.48,2200,0,0
2021-10-04 20:30:00,1766.48,1767.04,1763.99,1764.18,1574,0,0
