time,open,high,low,close,tick_volume,spread,real_volume
2023-09-01 01:00:00,34760.6,34760.6,34737.8,34744.0,228,0,0
2023-09-01 01:15:00,34745.0,34755.5,34745.0,34750.2,141,31,0
2023-09-01 01:30:00,34751.2,34752.7,34747.7,34750.2,130,31,0
2023-09-01 01:45:00,34749.2,34754.2,34748.0,34753.7,135,21,0
2023-09-01 02:00:00,34754.2,34758.7,34752.2,34758.2,138,31,0
2023-09-01 02:15:00,34758.7,34762.2,34757.7,34761.7,109,21,0
2023-09-01 02:30:00,34762.7,34767.0,34762.7,34765.2,157,31,0
2023-09-01 02:45:00,34764.2,34766.7,34758.7,34762.5,225,24,0
2023-09-01 03:00:00,34763.0,34772.0,34761.9,34766.0,435,33,0
2023-09-01 03:15:00,34765.0,34772.1,34760.0,34771.6,376,20,0
2023-09-01 03:30:00,34771.1,34781.5,34769.5,34777.4,368,33,0
2023-09-01 03:45:00,34776.9,34778.5,34771.5,34773.0,327,30,0
2023-09-01 04:00:00,34772.0,34775.0,34770.5,34774.6,335,34,0
2023-09-01 04:15:00,34774.1,34780.1,34773.6,34776.6,357,38,0
2023-09-01 04:30:00,34777.1,34779.6,34773.7,34778.7,332,0,0
2023-09-01 04:45:00,34781.2,34781.2,34760.3,34774.6,437,26,0
2023-09-01 05:00:00,34774.1,34781.6,34773.1,34778.1,309,26,0
2023-09-01 05:15:00,34777.6,34781.1,34773.6,34779.1,212,32,0
2023-09-01 05:30:00,34778.6,34781.1,34769.3,34770.3,203,27,0
2023-09-01 05:45:00,34771.3,34773.5,34768.9,34770.6,230,36,0
2023-09-01 06:00:00,34770.1,34777.6,34770.1,34771.1,203,31,0
2023-09-01 06:15:00,34770.6,34772.1,34769.6,34771.1,160,31,0
2023-09-01 06:30:00,34772.1,34778.4,34770.0,34774.1,246,31,0
2023-09-01 06:45:00,34773.6,34780.6,34771.1,34780.1,152,31,0
2023-09-01 07:00:00,34780.6,34786.1,34780.0,34785.1,186,36,0
2023-09-01 07:15:00,34785.1,34794.0,34783.1,34793.0,130,21,0
2023-09-01 07:30:00,34792.0,34794.6,34789.4,34792.1,169,35,0
2023-09-01 07:45:00,34792.6,34794.6,34790.1,34792.5,195,31,0
2023-09-01 08:00:00,34792.6,34793.0,34787.1,34791.6,228,36,0
2023-09-01 08:15:00,34792.1,34792.6,34786.2,34788.8,214,26,0
2023-09-01 08:30:00,34787.8,34789.7,34785.8,34788.1,183,21,0
2023-09-01 08:45:00,34788.2,34788.7,34774.5,34778.2,295,33,0
2023-09-01 09:00:00,34777.7,34782.2,34772.7,34778.2,397,17,0
2023-09-01 09:15:00,34777.7,34778.7,34758.1,34760.1,470,22,0
2023-09-01 09:30:00,34759.6,34765.7,34756.1,34759.2,482,25,0
2023-09-01 09:45:00,34759.7,34783.9,34751.1,34783.9,546,5,0
2023-09-01 10:00:00,34783.4,34796.4,34769.4,34777.9,1642,0,0
2023-09-01 10:15:00,34778.9,34803.5,34775.9,34797.5,1008,0,0
