time,open,high,low,close,tick_volume,spread,real_volume
2022-07-01 00:00:00,135.709,135.742,135.608,135.729,80,27,0
2022-07-01 00:30:00,135.729,135.753,135.698,135.726,322,6,0
2022-07-01 01:00:00,135.726,135.795,135.72,135.726,1388,0,0
2022-07-01 01:30:00,135.725,135.76,135.714,135.733,1842,1,0
2022-07-01 02:00:00,135.733,135.835,135.729,135.819,2122,0,0
2022-07-01 02:30:00,135.818,135.869,135.758,135.797,1642,0,0
2022-07-01 03:00:00,135.797,135.908,135.765,135.782,2467,0,0
2022-07-01 03:30:00,135.782,135.985,135.782,135.954,3692,0,0
2022-07-01 04:00:00,135.953,135.955,135.79,135.825,3026,0,0
2022-07-01 04:30:00,135.825,135.83,135.665,135.708,3413,0,0
2022-07-01 05:00:00,135.708,135.708,135.394,135.429,3492,0,0
2022-07-01 05:30:00,135.429,135.442,135.226,135.308,4169,0,0
2022-07-01 06:00:00,135.312,135.37,135.077,135.121,4425,0,0
2022-07-01 06:30:00,135.121,135.203,134.977,135.116,4117,0,0
2022-07-01 07:00:00,135.118,135.215,134.981,135.101,4042,0,0
2022-07-01 07:30:00,135.101,135.173,135.057,135.088,3042,0,0
2022-07-01 08:00:00,135.088,135.089,134.786,134.886,4306,0,0
2022-07-01 08:30:00,134.888,135.062,134.884,134.976,3204,0,0
2022-07-01 09:00:00,134.977,135.009,134.741,135.008,3893,0,0
2022-07-01 09:30:00,135.01,135.09,134.91,134.921,3901,0,0
2022-07-01 10:00:00,134.921,135.099,134.845,135.035,4310,0,0
2022-07-01 10:30:00,135.035,135.352,135.02,135.305,3719,0,0
2022-07-01 11:00:00,135.305,135.483,135.246,135.481,3610,0,0
2022-07-01 11:30:00,135.481,135.685,135.429,135.504,4837,0,0
2022-07-01 12:00:00,135.504,135.579,135.381,135.503,4527,0,0
2022-07-01 12:30:00,135.503,135.666,135.493,135.646,3117,0,0
2022-07-01 13:00:00,135.646,135.655,135.439,135.474,3246,0,0
